regressor__subsample,regressor__n_estimators,regressor__min_child_weight,regressor__max_depth,regressor__learning_rate,regressor__gamma,mae_avg,mae_std,medae_avg,medae_std,mse_avg,mse_std,rmse_avg,rmse_std,r2_avg,r2_std
1.0,20,3,10,0.5,5,5.825235200629498,0.13848705352383509,4.280009778340657,0.13879986325119112,63.53373401948291,2.462354003997132,7.969283748958638,0.15572587475007046,0.16411200622875508,0.043670915946280975
1.0,10,5,5,0.3,5,5.822905337894211,0.137277816001428,4.304848098754883,0.1252251746967296,63.51582446176865,2.4921695779594786,7.968120947380842,0.15771185649556516,0.16440874398937538,0.04279671236515704
1.0,100,1,5,0.01,5,5.9199961864406525,0.13681238531687528,4.4562741597493485,0.09966787679704561,66.18920432037143,3.1677342237376904,8.133284058060731,0.19721752271696819,0.12987947768080643,0.03845700785889925
1.0,20,5,5,0.01,5,6.306536844965572,0.16277033349448913,4.760112142562866,0.08826469020167924,75.7718710807193,4.987665585491895,8.699842022995874,0.29089492198098793,0.005370481629722312,0.03377158345899127
0.75,10,3,20,0.1,1,5.919615508747454,0.13814335220584312,4.466143687566121,0.0928397743702828,66.10037918173276,3.107523407004828,8.127909640304996,0.1935563503734761,0.13094208943943197,0.0399449210586418
1.0,10,5,5,0.5,1,5.822662698713648,0.13770236811405756,4.286610078811646,0.13990418654917633,63.48689091350615,2.44886574492565,7.966359715187369,0.15493160344483467,0.16472324935312527,0.043612750126482525
1.0,100,5,10,0.5,5,5.825254886565158,0.13837123490889722,4.28026598294576,0.13891679897707787,63.53607395409425,2.462585049787937,7.969430255051341,0.1557413367303858,0.1640824226202748,0.04365090025112587
0.75,50,5,10,0.3,1,5.843685533586076,0.1415246706967625,4.3083868503570555,0.13410545524020034,63.899308601740515,2.53360181098669,7.992107134709688,0.1597878251401425,0.15935525986247506,0.043508802484066376
1.0,50,1,20,0.01,5,6.0859981970268215,0.14761160656166064,4.611920356750488,0.07302356203371571,70.3363015210543,3.9690654245356103,8.383234678396189,0.24016212855035837,0.07600158887478067,0.035970044461387886
0.75,100,3,5,0.5,0,5.832593637916763,0.13936430177292686,4.29273583094279,0.1285944449757815,63.695876594153546,2.494969254690582,7.97941391274173,0.15757602386544756,0.162006570138963,0.043523954154427585
